,ID Number,Degree,Major,Honors,Departmental Honors,Printed Name,Phonetic Spelling,First Name,Middle Name,Last Name,Grad Date,Street Address,"Apt., Ste., Bldg.",City,State,Province,Postal Code,Country,Phone,Email,ID Number.1,Notes,Extra Notes,NO,Unnamed: 24,Unnamed: 25,Unnamed: 26
10,O7073964,B.A.,Biology,,,Kzmd U. Hxrgplyk,KzmdHxrgplyk,Kzmd,Uttl,Hxrgplyk,2022-05-02 00:00:00,XXXXXXX,,Houston,Texas,,77066,USA,(877)729-8139,Kzmd.Hxrgplyk@my.fisk.edu,O7073964,Dept Approved,121 hrs/3.09 GPA,,,,
11,D7254327,B.A.,Biology,Magna Cum Laude  ,,Jdijoc M. Tjwszh,JdijocTjwszh,Jdijoc,Mml,Tjwszh,2022-05-01 00:00:00,XXXXXXX,,Port St. Lucie,FL,,34952,USA,(774)359-3271,Jdijoc.Tjwszh@my.fisk.edu,D7254327,Dept Approved,139 hrs/3.5 GPA,,,,
12,N9487548,B.A.,Biology,,,Eqsfady S. Zkehikz,EqsfadyZkehikz,Eqsfady,S,Zkehikz,2022-05-02 00:00:00,XXXXXXX,,Romulus,MI,,48174,USA,(402)437-8423,Eqsfady.Zkehikz@my.fisk.edu,N9487548,Dept Approved,133 hrs/2.9 GPA,,,,
13,N4824807,B.A.,Biology,Cum Laude ,,Guxuoa B. Eblmc,GuxuoaEblmc,Guxuoa,Barca,Eblmc,2022-05-02 00:00:00,XXXXXXX,,Olive Branch,MS,,38654,USA,(547)411-6956,Guxuoa.Eblmc@my.fisk.edu,N4824807,Dept Approved,93 hrs/3.31 GPA,,,,
14,A6437509,B.A.,Biology,Cum Laude,,Fttsslwo U. Mchthb,FttsslwoMchthb,Fttsslwo,U,Mchthb,2022-05-02 00:00:00,XXXXXXX,,Evergreen Park,IL,,60805,USA,(696)091-1772,Fttsslwo.Mchthb@my.fisk.edu,A6437509,Dept Approved,124 hrs/3.3 GPA,,,,
15,E4482294,B.A.,Biology,,,Bigwbsepz U. Kodkddepx,BigwbsepzKodkddepx,Bigwbsepz,Ustf,Kodkddepx,2022-05-01 00:00:00,XXXXXXX,,Nashville,TN,,37013,USA,(473)480-2262,Bigwbsepz.Kodkddepx@my.fisk.edu,E4482294,Dept Approved,133 hrs/2.78 GPA,,,,
16,T8933251,B.A.,Biology,,,Pyfmgptyh S. Mvcfkmxji,PyfmgptyhMvcfkmxji,Pyfmgptyh,Sgm,Mvcfkmxji,2022-05-02 00:00:00,XXXXXXX,,Rex,GA,,30273,USA,(727)216-0744,Pyfmgptyh.Mvcfkmxji@my.fisk.edu,T8933251,Dept Approved,"1 pending grade, 116 credits",,,,
17,H9489315,B.A.,Biology,Summa Cum Laude ,,Fqqfyehn Q. Cfxszz,FqqfyehnCfxszz,Fqqfyehn,Q,Cfxszz,2022-05-01 00:00:00,XXXXXXX,,Southfield,MI,,48075,USA,(350)323-4763,Fqqfyehn.Cfxszz@my.fisk.edu,H9489315,Dept Approved,123 hrs/3.75 GPA,,,,
18,Q8346324,B.A.,Biology,,,Hpa E. Dobx,HpaDobx,Hpa,E,Dobx,2022-05-02 00:00:00,XXXXXXX,,washington ,DC,,20019,USA,(585)315-5646,Hpa.Dobx@my.fisk.edu,Q8346324,Dept Approved,,,,,
19,U3640682,B.A.,Biology,Cum Laude  ,,Kuwz C. Abty,KuwzAbty,Kuwz,C,Abty,2022-05-02 00:00:00,XXXXXXX,,Birmingham,AL,,35211,USA,(110)244-6433,Kuwz.Abty@my.fisk.edu,U3640682,Dept Approved,125 hrs/3.45 GPA,,,,
20,N5854543,B.A.,Biology,Magna Cum Laude ,,Laoa D. Qktkheq,LaoaQktkheq,Laoa,Dtwmm,Qktkheq,2022-05-02 00:00:00,XXXXXXX,,Cartersville,GA,,30121,USA,(247)706-6390,Laoa.Qktkheq@my.fisk.edu,N5854543,Dept Approved,126 hrs/3.53 GPA,,,,
21,D3012224,B.A.,Biology,Cum Laude ,,Bhrywfyvl T. Cdfboluq,BhrywfyvlCdfboluq,Bhrywfyvl,T,Cdfboluq,2022-05-02 00:00:00,XXXXXXX,,Brownsburg,IN,,46112,USA,(954)816-8688,Bhrywfyvl.Cdfboluq@my.fisk.edu,D3012224,Dept Approved,135 hrs/3.54 GPA,,,,
22,S4532253,B.A.,Biology,,,Xey S. Qgblkpqw,XeyQgblkpqw,Xey,Shod,Qgblkpqw,2022-05-02 00:00:00,XXXXXXX,Apt 186,Scottsdale,AZ,,85254,USA,(530)793-3605,Xey.Qgblkpqw@my.fisk.edu,S4532253,Dept Approved,"142 hrs/2.93 GPA (all grades entered, did not meet major requirements)",x,,,
23,T9841649,B.A.,Biology,Magna Cum Laude ,,Lpvjilfrs M. Mwry,LpvjilfrsMwry,Lpvjilfrs,M,Mwry,2022-05-02 00:00:00,XXXXXXX,,Highland Park,MI,,48203,USA,(615)171-4259,Lpvjilfrs.Mwry@my.fisk.edu,T9841649,Dept Approved,123 hrs/3.49 GPA,,,,
24,Y9636227,B.A.,Biology,Summa Cum Laude ,,Exvzmj J. Axhiiac,ExvzmjAxhiiac,Exvzmj,Jqxix,Axhiiac,2022-05-01 00:00:00,XXXXXXX,,Muskegon,MI,,49442,USA,(270)326-1921,Exvzmj.Axhiiac@my.fisk.edu,Y9636227,Dept Approved,"132 credits, all grades entered",,,,
25,G4547978,B.A.,Biology,Summa Cum Laude ,,Clqaezxtq F. Gaj,ClqaezxtqGaj,Clqaezxtq,F,Gaj,2022-05-02 00:00:00,XXXXXXX,,Jackson,TN,,38305,USA,(816)771-8156,Clqaezxtq.Gaj@my.fisk.edu,G4547978,Dept Approved,128 hrs/3.8 GPA,,,,
26,D5091539,B.A.,Biology,Magna Cum Laude  ,,Dfqljouw M. Lhjgv,DfqljouwLhjgv,Dfqljouw,M,Lhjgv,2022-05-01 00:00:00,XXXXXXX,,Nashville,TN,,37208,USA,(461)403-9355,Dfqljouw.Lhjgv@my.fisk.edu,D5091539,Dept Approved,127 hrs/3.58 GPA,,,,
27,K5171254,B.A.,Biology,Cum Laude  ,,Qnztjf L. Yftacxnr,QnztjfYftacxnr,Qnztjf,Lvsxg,Yftacxnr,2022-05-02 00:00:00,XXXXXXX,,Jeffersonville ,IN,,47130,USA,(527)072-3553,Qnztjf.Yftacxnr@my.fisk.edu,K5171254,Dept Approved,147 hrs/3.39 GPA,,,,
28,X7395053,B.A.,Biology,Cum Laude  ,,Encgtao K. Nlrxr,EncgtaoNlrxr,Encgtao,K,Nlrxr,2022-05-02 00:00:00,XXXXXXX,,Gwynn Oak,MD,,21207,USA,(523)452-9069,Encgtao.Nlrxr@my.fisk.edu,X7395053,Dept Approved,123 hrs/3.46 GPA,,,,
29,O2941337,B.A.,Biology,,,Pjgrkdt R. Jtbwr,PjgrkdtJtbwr,Pjgrkdt,R,Jtbwr,2022-05-02 00:00:00,XXXXXXX,,Indianapolis,IN,,46268,USA,(700)177-3502,Pjgrkdt.Jtbwr@my.fisk.edu,O2941337,Dept Approved,146 hrs/3.21 GPA,,,,
30,A9114503,B.A.,Biology,Summa Cum Laude  ,,Fwaejzfiu K. Ctegtoo,FwaejzfiuCtegtoo,Fwaejzfiu,K,Ctegtoo,2022-05-02 00:00:00,XXXXXXX,,Brentwood,TN,,37027,USA,(886)407-7075,Fwaejzfiu.Ctegtoo@my.fisk.edu,A9114503,Dept Approved,134 hrs/3.78 GPA,,,,
31,V6330234,B.A.,Biology,,,Kneiwsi S. Xxay,KneiwsiXxay,Kneiwsi,S,Xxay,2022-05-02 00:00:00,XXXXXXX,,Nashville,TN,,37206,USA,(380)575-2538,Kneiwsi.Xxay@my.fisk.edu,V6330234,Dept Approved,126 hrs/3.14 GPA,,,,
32,A5590647,B.A.,Biology,Cum Laude ,,Dfjgiowl A. Zcgf,DfjgiowlZcgf,Dfjgiowl,Agwee,Zcgf,2022-05-02 00:00:00,XXXXXXX,,Nashville,TN,,37214,USA,(691)673-9367,Dfjgiowl.Zcgf@my.fisk.edu,A5590647,Dept Approved,134 hrs/3.34 GPA  ,,,,
33,R2496694,B.A.,Biology ,Magna Cum Laude  ,,Absns P. Qxjbgkfa,AbsnsQxjbgkfa,Absns,P,Qxjbgkfa,2022-05-02 00:00:00,XXXXXXX,,Memphis ,TN,,38122,USA,(309)555-3775,Absns.Qxjbgkfa@my.fisk.edu,R2496694,Dept Approved,131 hrs/3.49 GPA  ,,,,
34,N3139563,B.A.,Biology ,,,Ntxgcruk G. Mczimei,NtxgcrukMczimei,Ntxgcruk,Ggi,Mczimei,2022-05-02 00:00:00,XXXXXXX,,Park Forest,IL,,60466,USA,(611)861-6703,Ntxgcruk.Mczimei@my.fisk.edu,N3139563,Dept Approved,135 hrs/3.03 GPA,,,,
35,J7062558,B.A.,Biology ,,,Czp T. Orgi,CzpOrgi,Czp,Ts,Orgi,2022-05-02 00:00:00,XXXXXXX,,Missouri city,TX,,77459,USA,(786)355-7430,Czp.Orgi@my.fisk.edu,J7062558,Dept Approved,131 hrs/3.27 GPA,,,,
36,Q5216966,B.A.,Biology ,,,Wts M. Cvtxnl,WtsCvtxnl,Wts,Mhh,Cvtxnl,2022-05-02 00:00:00,XXXXXXX,,Nashville,TN,,37214,USA,(454)769-4500,Wts.Cvtxnl@my.fisk.edu,Q5216966,Dept Approved,150 hrs/3.16 GPA,,,,
37,R8974137,B.A.,Biology ,Cum Laude  ,,Ctzp T. Bgilfltx,CtzpBgilfltx,Ctzp,Tnsp,Bgilfltx,2022-05-02 00:00:00,XXXXXXX,,Eufaula ,AL,,36027,USA,(798)208-9380,Ctzp.Bgilfltx@my.fisk.edu,R8974137,Dept Approved,132 hrs/3.39 GPA,,,,
38,L9098807,B.A.,Biology ,Cum Laude  ,,Ptlp Y. Ehg,PtlpEhg,Ptlp,Ym,Ehg,2022-05-02 00:00:00,XXXXXXX,,Euless,TX,,76039,USA,(312)028-9808,Ptlp.Ehg@my.fisk.edu,L9098807,Dept Approved,136 hrs/3.3 GPA,,,,
39,Q5009239,B.A.,Biology ,Cum Laude  ,,Bowm K. Acioiopcz,BowmAcioiopcz,Bowm,Ktoyn,Acioiopcz,2022-05-02 00:00:00,XXXXXXX,Apt. 4M,Bronx,NY,,10472,USA,(022)772-4127,Bowm.Acioiopcz@my.fisk.edu,Q5009239,Dept Approved,127 hrs/3.45 GPA,,,,
40,A3869192,B.A.,Biology ,Cum Laude ,,Tjiekapp A. Elrqj,TjiekappElrqj,Tjiekapp,A,Elrqj,2022-05-02 00:00:00,XXXXXXX,apt. 311,Clarksville,TN,,37040,USA,(743)988-2477,Tjiekapp.Elrqj@my.fisk.edu,A3869192,Dept Approved,127 hrs/3.4 GPA,,,,
41,L5202842,B.A.,Biology ,,,Hsktdsf D. Szugbf,HsktdsfSzugbf,Hsktdsf,D,Szugbf,2022-05-02 00:00:00,XXXXXXX,,New Orleans ,LA,,70128,USA,(209)617-2131,Hsktdsf.Szugbf@my.fisk.edu,L5202842,Dept Approved,124 hrs/3.03 GPA,,,,
42,H9365593,B.A.,Biology  ,Cum Laude ,,Apnfoa A. Mqknd,ApnfoaMqknd,Apnfoa,A,Mqknd,2022-05-02 00:00:00,XXXXXXX,,Kansas City ,MO,,64132,USA,(125)516-6100,Apnfoa.Mqknd@my.fisk.edu,H9365593,Dept Approved,126 hrs/3.28 GPA,,,,
43,M3413510,B.A.,Biology & Spanish,,,Djj L. Igix,DjjIgix,Djj,L,Igix,2022-05-02 00:00:00,XXXXXXX,,Southaven,MS,,38672,USA,(463)468-6375,Djj.Igix@my.fisk.edu,M3413510,Dept Approved,123 hrs/3.29 GPA,,,,
44,V1524537,B.A.,Biology and Spanish,Magna Cum Laude ,,Luwg Y. Cjvoh,LuwgCjvoh,Luwg,Y,Cjvoh,2022-05-01 00:00:00,XXXXXXX,,Saint Louis,MO,,63112,USA,(767)573-3147,Luwg.Cjvoh@my.fisk.edu,V1524537,Dept Approved,135 hrs/3.51 GPA,,,,
45,W2169430,B.A.,Biology and Spanish,Cum Laude  ,,Robc I. Yylhsbho,RobcYylhsbho,Robc,Iiwij,Yylhsbho,2022-05-02 00:00:00,XXXXXXX,,Glenwood,IL,,60425,USA,(143)375-4235,Robc.Yylhsbho@my.fisk.edu,W2169430,Dept Approved,137 hrs/3.39 GPA,,,,
46,W4484334,B.A.,Criminal Justice ,Magna Cum Laude ,,Hnnfdw M. Eebmnq,HnnfdwEebmnq,Hnnfdw,Mbr,Eebmnq,2022-05-02 00:00:00,XXXXXXX,,South Holland ,IL,,60473,USA,(429)486-8876,Hnnfdw.Eebmnq@my.fisk.edu,W4484334,Dept Approved,135 hrs/3.54 GPA,,,,
47,N8577336,B.A.,Elected Studies,,,Buplunuom R. Mhfvdree,BuplunuomMhfvdree,Buplunuom,R,Mhfvdree,2022-05-02 00:00:00,XXXXXXX,unit 6SW,Daytona Beach Shores,FL,,32118,USA,(025)680-7516,Buplunuom.Mhfvdree@my.fisk.edu,N8577336,Dept Approved,132 hrs/2.54 GPA,,,,
48,Y2931306,B.A.,Elected Studies,,,Igeao L. Mnyims,IgeaoMnyims,Igeao,Lg,Mnyims,2022-05-02 00:00:00,XXXXXXX,Apt 234 ,Antioch,TN,,37013,USA,(186)817-4257,Igeao.Mnyims@my.fisk.edu,Y2931306,Dept Approved,102 hrs/2.82 GPA (Missing 4 grades),,,,
49,U9514079,B.A.,Elected Studies,,,Wirpbq V. Bfnpzoy,WirpbqBfnpzoy,Wirpbq,V,Bfnpzoy,2022-05-02 00:00:00,XXXXXXX,,Los Angeles,CA,,90044,USA,(447)041-6498,Wirpbq.Bfnpzoy@my.fisk.edu,U9514079,Dept Approved,118.5 hrs/2.43 GPA Dr. Leach,,,,
50,E7781909,B.A.,Elected studies,Summa Cum Laude  ,,Glwfv J. Gxr,GlwfvGxr,Glwfv,Jkfj,Gxr,2022-05-02 00:00:00,XXXXXXX,,STEVENSON RANCH,CA,,91381,USA,(322)132-3830,Glwfv.Gxr@my.fisk.edu,E7781909,Dept Approved,15 hrs/3.86 GPA,,,,
51,P0350697,B.A.,Elected Studies,Summa Cum Laude ,,Oizwmxqr A. Tervsa,OizwmxqrTervsa,Oizwmxqr,Ad,Tervsa,2022-05-02 00:00:00,XXXXXXX,,Kansas City ,MO,,64130,USA,(309)387-7256,Oizwmxqr.Tervsa@my.fisk.edu,P0350697,Dept Approved,,,,,
52,W0126937,B.A.,Elected Studies,,,Ftqct H. Toqmuwqkc,FtqctToqmuwqkc,Ftqct,H,Toqmuwqkc,2022-05-02 00:00:00,XXXXXXX,,Harper woods,MI,,48225,USA,(687)566-4168,Ftqct.Toqmuwqkc@my.fisk.edu,W0126937,Dept Approved,,,,,
53,U8769521,B.A.,Elected Studies,Summa Cum Laude  ,McKinley N/A Young  Jr.,Bgsqpxbws U. Dssoogtz,BgsqpxbwsDssoogtz,Bgsqpxbws,U,Dssoogtz,,XXXXXXX,,Franklin,TN,,37067,USA,(375)127-2424,Bgsqpxbws.Dssoogtz@my.fisk.edu,U8769521,Dept Approved,,,,,
54,A2426344,B.A.,Elected Studies ,,,Sqpystisw F. Przhfx,SqpystiswPrzhfx,Sqpystisw,Fgse,Przhfx,2022-05-02 00:00:00,XXXXXXX,,Denver,CO,,80224,USA,(267)762-8027,Sqpystisw.Przhfx@my.fisk.edu,A2426344,Dept Approved,,,,,
55,B2938713,B.A.,Elected Studies ,,,Lzu F. Jubtvch,LzuJubtvch,Lzu,Frna,Jubtvch,2022-05-02 00:00:00,XXXXXXX,,Cleveland Heights,OH,,44118,USA,(377)069-9085,Lzu.Jubtvch@my.fisk.edu,B2938713,Dept Approved,Dr. Hussain,,,,
56,C5783694,B.A.,Elected Studies w/ Concentration in Human Development and Leadership,,,Smc S. Asnsau,SmcAsnsau,Smc,S,Asnsau,2022-05-02 00:00:00,XXXXXXX,,Clarksville,TN,,37043,USA,(708)516-4243,Smc.Asnsau@my.fisk.edu,C5783694,Dept Approved,,,,,
57,T4445350,B.A.,English,Cum Laude  ,,Rzcqeni X. Dohivze,RzcqeniDohivze,Rzcqeni,Xyd,Dohivze,2022-05-01 00:00:00,XXXXXXX,,Nashville,TN,,37214,USA,(003)503-4982,Rzcqeni.Dohivze@my.fisk.edu,T4445350,Dept Approved,,,,,
58,Y6910366,B.A.,English,,,Vrcbgtd A. Pxhxaaoua,VrcbgtdPxhxaaoua,Vrcbgtd,A,Pxhxaaoua,2022-05-02 00:00:00,XXXXXXX,,Gilroy,CA,,95020,USA,(806)437-6499,Vrcbgtd.Pxhxaaoua@my.fisk.edu,Y6910366,Dept Approved,Dr. Burnett,,,,
59,Q6409537,B.A.,English,Magna Cum Laude ,,Honxpigxc Z. Zxxnhdmdm,HonxpigxcZxxnhdmdm,Honxpigxc,Z,Zxxnhdmdm,2022-05-02 00:00:00,XXXXXXX,,Nashville,TN,,37208,USA,(696)243-1319,Honxpigxc.Zxxnhdmdm@my.fisk.edu,Q6409537,Dept Approved,,,,,
60,B5869630,B.A.,English,,,Epbopna F. Gwel,EpbopnaGwel,Epbopna,Fsq,Gwel,2022-05-02 00:00:00,XXXXXXX,,New York City,NY,,10026,USA,(434)013-3818,Epbopna.Gwel@my.fisk.edu,B5869630,Dept Approved,,,,,
61,O8728082,B.A.,English,,,Yzifs X. Yzmyf,YzifsYzmyf,Yzifs,Xukbw,Yzmyf,2022-05-02 00:00:00,XXXXXXX,,Olympia Fields,IL,,60461,USA,(411)872-2110,Yzifs.Yzmyf@my.fisk.edu,O8728082,Dept Approved,,,,,
62,Y1188766,B.A.,English ,,,Zjzepllum R. Fghag,ZjzepllumFghag,Zjzepllum,R,Fghag,2022-05-02 00:00:00,XXXXXXX,,Houston,TX,,77004,USA,(523)041-2307,Zjzepllum.Fghag@my.fisk.edu,Y1188766,Dept Approved,,,,,
63,Y9576955,B.A.,English ,,,Gisxli E. Byyt,GisxliByyt,Gisxli,Ehrqn,Byyt,2022-05-02 00:00:00,XXXXXXX,,Nashville,TN,,37221,USA,(769)107-9638,Gisxli.Byyt@my.fisk.edu,Y9576955,Dept Approved,,,,,
64,Z4645407,B.A.,English ,,,Mehhieaig G. Jhdfnh,MehhieaigJhdfnh,Mehhieaig,Gaffm,Jhdfnh,2022-05-02 00:00:00,XXXXXXX,,Antioch ,TN,,37013,USA,(481)254-0852,Mehhieaig.Jhdfnh@my.fisk.edu,Z4645407,Dept Approved,,,,,
65,N1462099,B.A.,English & Political Science ,,,Hdhtmze U. Vopxioird,HdhtmzeVopxioird,Hdhtmze,U,Vopxioird,2022-05-02 00:00:00,XXXXXXX,,Gary,IN,,46409,USA,(144)612-5411,Hdhtmze.Vopxioird@my.fisk.edu,N1462099,Dept Approved,Dr. Burnett,,,,
66,O0508248,B.A.,History ,,,Osjvjbq R. Cwxvchqz,OsjvjbqCwxvchqz,Osjvjbq,R,Cwxvchqz,2022-05-02 00:00:00,XXXXXXX,,East Orange ,NJ,,07017,USA,(974)784-6616,Osjvjbq.Cwxvchqz@my.fisk.edu,O0508248,Dept Approved,Dr. Adebanjo,,,,
67,C1470094,B.A.,History ,Summa Cum Laude ,,Ueouckj H. Wcjeji,UeouckjWcjeji,Ueouckj,Hglty,Wcjeji,2022-05-02 00:00:00,XXXXXXX,,Niagara Falls,NY,,14304,USA,(279)554-6171,Ueouckj.Wcjeji@my.fisk.edu,C1470094,Dept Approved,,,,,
68,F9574268,B.A.,History ,Summa Cum Laude ,,Tbigum H. Gygzaw,TbigumGygzaw,Tbigum,Hlkv,Gygzaw,2022-05-02 00:00:00,XXXXXXX,,Memphis,TN,,38125,USA,(852)989-2589,Tbigum.Gygzaw@my.fisk.edu,F9574268,Dept Approved,,,,,
69,X7257030,B.A.,Music,,,Zbyizni Z. Gpibylbf,ZbyizniGpibylbf,Zbyizni,Zw,Gpibylbf,2022-05-02 00:00:00,XXXXXXX,,Olympia Fields,IL,,60461,USA,(996)093-9109,Zbyizni.Gpibylbf@my.fisk.edu,X7257030,Dept Approved,,,,,
70,Y6124947,B.A.,Music,,,Ktebdr S. Ylojnzjlu,KtebdrYlojnzjlu,Ktebdr,Svgta,Ylojnzjlu,2022-05-01 00:00:00,XXXXXXX,,Olympia Fields,IL,,60461,USA,(664)182-4976,Ktebdr.Ylojnzjlu@my.fisk.edu,Y6124947,Dept Approved,,,,,
71,N9034860,B.A.,Political Science,,,Lflyygq D. Avcmi,LflyygqAvcmi,Lflyygq,Drm,Avcmi,2022-05-02 00:00:00,XXXXXXX,,Canton,GA,,30114,USA,(563)942-9670,Lflyygq.Avcmi@my.fisk.edu,N9034860,Dept Approved,,,,,
72,C5677648,B.A.,Political Science,,,Oppf H. Xmsrov,OppfXmsrov,Oppf,Hfbw,Xmsrov,2022-05-02 00:00:00,XXXXXXX,,Chicago,IL,,60628,USA,(670)591-0152,Oppf.Xmsrov@my.fisk.edu,C5677648,Dept Approved,,,,,
73,H6696640,B.A.,Political Science,Cum Laude ,,Kmdh N. Zcuizk,KmdhZcuizk,Kmdh,N,Zcuizk,2022-05-02 00:00:00,XXXXXXX,,Memphis,TN,,38141,USA,(937)589-4795,Kmdh.Zcuizk@my.fisk.edu,H6696640,Dept Approved,,,,,
74,L0993130,B.A.,Political Science,Cum Laude ,,Ftml R. Cgpkl,FtmlCgpkl,Ftml,R,Cgpkl,2022-05-02 00:00:00,XXXXXXX,,Hendersonville,TN,,37075,USA,(983)858-8392,Ftml.Cgpkl@my.fisk.edu,L0993130,Dept Approved,,,,,
75,U3884690,B.A.,Political Science,Summa Cum Laude  ,,Hbsejc Z. Fwprxc,HbsejcFwprxc,Hbsejc,Zlxzv,Fwprxc,2022-05-02 00:00:00,XXXXXXX,Apt E40,Dothan,AL,,36303,USA,(100)846-3447,Hbsejc.Fwprxc@my.fisk.edu,U3884690,Dept Approved,,,,,
76,N2152312,B.A.,Political Science,Magna Cum Laude ,,Ghpblkjr X. Iwisjkhgj,GhpblkjrIwisjkhgj,Ghpblkjr,Xlq,Iwisjkhgj,2022-05-01 00:00:00,XXXXXXX,,Woodland Hills,CA,,91367,USA,(087)736-0986,Ghpblkjr.Iwisjkhgj@my.fisk.edu,N2152312,Dept Approved,,,,,
77,S5717494,B.A.,Political Science ,Summa Cum Laude ,,Gqqvkjqiq D. Wnw,GqqvkjqiqWnw,Gqqvkjqiq,D,Wnw,2022-05-02 00:00:00,XXXXXXX,,Durham,NC,,27703,USA,(895)065-1105,Gqqvkjqiq.Wnw@my.fisk.edu,S5717494,Dept Approved,,,,,
78,B6233781,B.A.,Political Science ,Magna Cum Laude ,,Fdm W. Pil,FdmPil,Fdm,Weneu,Pil,2022-05-02 00:00:00,XXXXXXX,,Hermitage ,TN,,37076,USA,(372)075-5511,Fdm.Pil@my.fisk.edu,B6233781,Dept Approved, ,,,,
79,D8235509,B.A.,Political Science ,Cum Laude  ,,Fztgxd V. Atqfbt,FztgxdAtqfbt,Fztgxd,Vim,Atqfbt,2022-05-02 00:00:00,XXXXXXX,,Euless,TX,,76039,USA,(736)251-8534,Fztgxd.Atqfbt@my.fisk.edu,D8235509,Dept Approved,,,,,
80,D6306663,B.A.,Political science ,Cum Laude ,,Djrvmjeq P. Wfpkcmssr,DjrvmjeqWfpkcmssr,Djrvmjeq,Pf,Wfpkcmssr,2022-05-02 00:00:00,XXXXXXX,,Chicago,IL,,60623,USA,(156)908-0482,Djrvmjeq.Wfpkcmssr@my.fisk.edu,D6306663,Dept Approved,,,,,
81,K0371486,B.A.,Psychology,Magna Cum Laude  ,,Fya A. Vkstw,FyaVkstw,Fya,A,Vkstw,2022-05-02 00:00:00,XXXXXXX,,Fayetteville,GA,,30214,USA,(901)916-9593,Fya.Vkstw@my.fisk.edu,K0371486,Dept Approved,,,,,
82,A2726404,B.A.,Psychology,Cum Laude ,,Xrltvgqzh H. Zmgszjr,XrltvgqzhZmgszjr,Xrltvgqzh,H,Zmgszjr,2022-05-02 00:00:00,XXXXXXX,,Detroit ,MI,,48227,USA,(621)781-1725,Xrltvgqzh.Zmgszjr@my.fisk.edu,A2726404,Dept Approved,,,,,
